homeid,install_type,location,residents,starttime,starttime_enhanced,endtime,cohortid,income_band,study_class,hometype,equivalised_income,occupancy,urban_rural_class,urban_rural_name,build_era,new_build_year,smart_monitors,smart_automation,occupied_days,occupied_nights,entry_floor,outdoor_space,outdoor_drying
316,standard,Edinburgh,4,16/03/2018 08:25,,30/06/2018 22:59,treatment_20180418,"£90,000 or more",treatment,house_or_bungalow,above_median,multiple,3+,Small Towns or Rural Areas,2002 or later,2007,Own and use,Don't own,3,7,Ground,Yes - private,
310,standard,Edinburgh,2,08/03/2018 12:44,,19/06/2018 11:30,control_20180418,"£43,200 to £48,599",control,flat,above_median,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,1,7,3rd,Yes - shared with neighbours,No
306,standard,Edinburgh,4,05/03/2018 13:26,,11/06/2018 07:00,control_20180418,"£66,000 to £77,999",control,house_or_bungalow,above_median,multiple,3+,Small Towns or Rural Areas,1931-1944,,Don't own,Don't own,1,7,Ground,Yes - private,Yes
305,standard,Edinburgh,2,05/03/2018 09:17,,30/06/2018 22:59,control_20180418,"£54,000 to £65,999",control,house_or_bungalow,above_median,multiple,3+,Small Towns or Rural Areas,1919-1930,,Don't own,Don't own,7,7,Ground,Yes - private,Yes
307,standard,Edinburgh,4,06/03/2018 09:11,,30/06/2018 22:59,control_20180418,"£54,000 to £65,999",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1850-1899,,Don't own,Don't own,7,7,Ground,Yes - private,Yes
311,enhanced,Edinburgh,2,12/03/2018 13:50,05/06/2018 11:30,30/06/2018 22:59,enhanced_20180605,"£16,200 to £19,799",enhanced,flat,below_median,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,7,7,2nd,Yes - shared with neighbours,
308,standard,Edinburgh,2,07/03/2018 12:52,,29/06/2018 08:00,control_20180418,"£78,000 to £89,999",control,house_or_bungalow,above_median,multiple,1,Large Urban Areas,1931-1944,,Don't own,Don't own,2,7,Ground,Yes - private,Yes
309,standard,Edinburgh,3,08/03/2018 07:05,,19/06/2018 12:30,treatment_20180418,"£54,000 to £65,999",treatment,flat,above_median,multiple,1,Large Urban Areas,1900-1918,,Don't own,Don't own,7,7,1st,Yes - shared with neighbours,Yes
315,standard,Edinburgh,2,15/03/2018 08:59,,30/06/2018 22:59,control_20180514,"£90,000 or more",control,house_or_bungalow,above_median,multiple,1,Large Urban Areas,1900-1918,,Don't own,Don't own,4,4,Ground,Yes - shared with neighbours,Yes
328,enhanced,Edinburgh,1,03/04/2018 15:11,22/05/2018 09:00,30/06/2018 22:59,enhanced_20180522,"£10,800 to £13,499",enhanced,flat,below_median,single,1,Large Urban Areas,1850-1899,,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,No
317,standard,Edinburgh,1,19/03/2018 08:42,,30/06/2018 22:59,treatment_20180514,"£37,800 to £43,199",treatment,flat,above_median,single,1,Large Urban Areas,2002 or later,2003,Don't own,Don't own,2,7,Ground,No,
319,standard,Edinburgh,2,20/03/2018 09:15,,30/06/2018 22:59,treatment_20180514,"£16,200 to £19,799",treatment,flat,below_median,multiple,2,Other Urban Areas,1850-1899,,Own and use,Own and use,1,7,1st,Yes - shared with neighbours,No
313,standard,Edinburgh,1,13/03/2018 09:18,,19/06/2018 07:30,treatment_20180418,"£37,800 to £43,199",treatment,flat,above_median,single,1,Large Urban Areas,1850-1899,,Don't own,Own and use,2,5,2nd,Yes - shared with neighbours,Yes
318,standard,Edinburgh,4,20/03/2018 08:58,,30/06/2018 22:59,treatment_20180514,"£32,400 to £37,799",treatment,house_or_bungalow,below_median,multiple,2,Other Urban Areas,1965-1980,,Don't own,Don't own,4,7,Ground,Yes - private,Yes
321,standard,Edinburgh,1,23/03/2018 08:20,,30/06/2018 22:59,control_20180418,"£32,400 to £37,799",control,flat,above_median,single,1,Large Urban Areas,2002 or later,2002,Don't own,Don't own,7,7,2nd,Yes - shared with neighbours,No
323,standard,Edinburgh,1,23/03/2018 12:56,,30/06/2018 22:59,treatment_20180418,"£19,800 to £23,399",treatment,flat,below_median,single,1,Large Urban Areas,1850-1899,,Don't own,Don't own,5,7,1st,Yes - shared with neighbours,Yes
326,standard,Edinburgh,4,28/03/2018 11:52,,30/06/2018 22:59,treatment_20180418,"£16,200 to £19,799",treatment,house_or_bungalow,below_median,multiple,1,Large Urban Areas,1945-1964,,Don't own,Don't own,5,7,Ground,Yes - private,Yes
320,standard,Edinburgh,2,21/03/2018 13:27,,30/06/2018 22:59,treatment_20180514,"£37,800 to £43,199",treatment,flat,above_median,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,4,7,3rd,Yes - shared with neighbours,Yes
325,standard,Edinburgh,4,28/03/2018 07:57,,30/06/2018 22:59,treatment_20180418,"£78,000 to £89,999",treatment,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1996-2001,,Don't own,Don't own,3,7,Ground,Yes - private,Yes
322,standard,Edinburgh,3,26/03/2018 11:52,,30/06/2018 22:59,treatment_20180418,"£43,200 to £48,599",treatment,flat,above_median,multiple,1,Large Urban Areas,1931-1944,,Don't own,Don't own,3,7,2nd,Yes - shared with neighbours,Yes
327,standard,Edinburgh,4,29/03/2018 09:37,,30/06/2018 22:59,control_20180514,"£32,400 to £37,799",control,house_or_bungalow,below_median,multiple,1,Large Urban Areas,1945-1964,,Own but don't use,Don't own,2,7,Ground,Yes - private,Yes
330,standard,EastLothian,4,10/04/2018 07:33,,30/06/2018 22:59,control_20180514,Missing,control,house_or_bungalow,missing,multiple,3+,Small Towns or Rural Areas,Before 1850,,Don't own,Own and use,5,7,Ground,Yes - private,Yes
329,standard,Edinburgh,2,06/04/2018 13:29,,30/06/2018 22:59,treatment_20180514,"£16,200 to £19,799",treatment,house_or_bungalow,below_median,multiple,3+,Small Towns or Rural Areas,1965-1980,,Don't own,Don't own,7,7,Ground,Yes - private,Yes
331,standard,Fife,2,12/04/2018 11:57,,30/06/2018 22:59,treatment_20180514,"£54,000 to £65,999",treatment,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1965-1980,,Don't own,Don't own,7,7,Ground,Yes - private,Yes
332,standard,Edinburgh,1,19/04/2018 09:14,,30/06/2018 22:59,treatment_20180514,"£32,400 to £37,799",treatment,flat,above_median,single,1,Large Urban Areas,1919-1930,,Don't own,Don't own,2,7,Ground,Yes - private,Yes
334,standard,Edinburgh,5,30/04/2018 07:14,,30/06/2018 22:59,control_20180514,"less than £10,800",control,flat,below_median,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,4,7,Ground,Yes - shared with neighbours,Yes
335,standard,EastLothian,4,30/04/2018 13:42,,30/06/2018 22:59,treatment_20180514,"£78,000 to £89,999",treatment,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1991-1995,,Don't own,Don't own,2,7,Ground,Yes - private,Yes
333,standard,Edinburgh,3,30/04/2018 07:27,,30/06/2018 22:59,control_20180514,"£54,000 to £65,999",control,flat,above_median,multiple,1,Large Urban Areas,Before 1850,,Don't own,Don't own,2,7,1st,Yes - private,Yes
